symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional
CUB.NS,validation,2023-05-31,2023-06-13,-0.012819314720667014,-0.010645166633764983,-320.04109682650693,24965.53862668991
GMRAIRPORT.NS,validation,2023-06-01,2023-06-14,0.0550435234683995,0.05723612627967802,1375.1019452646321,24982.084332847597
SRF.NS,validation,2023-06-14,2023-06-27,-0.024746238071692888,-0.02248212461602695,-583.7832690878616,23590.78852294922
ZEEL.NS,validation,2023-06-21,2023-07-05,0.03511326511331091,0.037307763692123165,873.0448339119913,24863.675625
SHREECEM.NS,validation,2023-06-28,2023-07-12,0.005038145400779129,0.00727760819109675,121.22798058718242,24062.025
AARTIIND.NS,validation,2023-07-06,2023-07-19,-0.049096674471793146,-0.046932055444670315,-1225.0341756343753,24951.4695
ATUL.NS,validation,2023-07-13,2023-07-26,-0.007815902193596772,-0.005217072314906431,-154.36305225625108,19749.87
ABB.NS,validation,2023-07-21,2023-08-03,0.03614035628099766,0.03862846053595182,760.0501241710841,21030.51
IEX.NS,validation,2023-07-28,2023-08-10,0.07291666214914241,0.07511635721834227,1819.392485434294,24951.669917541505
BAJAJFINSV.NS,validation,2023-08-04,2023-08-18,-0.03151821549374573,-0.029287964752005288,-757.7992258074713,24043.214818359374
GNFC.NS,validation,2023-08-11,2023-08-25,0.02747398978129688,0.029669942152016963,681.5581854155697,24807.3975
MGL.NS,validation,2023-08-16,2023-08-29,0.03867163127292114,0.04088226837311141,952.5715979127422,24632.309694671632
HINDPETRO.NS,validation,2023-09-01,2023-09-14,0.032331484421107635,0.0345188138393065,807.0738468954902,24962.474236679074
ABBOTINDIA.NS,validation,2023-09-04,2023-09-15,0.015908169867140564,0.018234370983263137,364.45694971172884,22910.048909179688
TORNTPHARM.NS,validation,2023-09-04,2023-09-15,0.03327517302530283,0.035564212353656977,781.1923360062501,23476.7325
INDIGO.NS,validation,2023-09-18,2023-10-03,0.0023859107179778536,0.004624610771537353,57.40984334375106,24062.024999999998
APOLLOTYRE.NS,validation,2023-09-20,2023-10-04,-0.0026074333604340213,-0.00041980657620416777,-64.67059214166197,24802.395
PIIND.NS,validation,2023-09-21,2023-10-05,-0.03623317620302234,-0.034036124446147446,-888.1566733825344,24512.25
NAVINFLUOR.NS,validation,2023-10-04,2023-10-17,-0.03601183287842827,-0.03370219372531092,-825.8039051783627,22931.46
MOTHERSON.NS,validation,2023-10-05,2023-10-18,0.029506983316835492,0.03169486144151263,735.9424265033355,24941.29672969437
MARICO.NS,validation,2023-10-09,2023-10-20,0.008521745373940664,0.010724220086877859,209.84461875632098,24624.605588195802
BIOCON.NS,validation,2023-10-19,2023-11-02,-0.07572908781065685,-0.07356677309880613,-1883.2633677249974,24868.428
MPHASIS.NS,validation,2023-10-19,2023-11-02,-0.031565442381109324,-0.02938393112495147,-781.8264046563629,24768.42856237793
BANDHANBNK.NS,validation,2023-10-23,2023-11-06,-0.03967952748670919,-0.03750710442384076,-986.9262698462503,24872.43
JINDALSTEL.NS,validation,2023-11-03,2023-11-17,0.08369388855364933,0.08593245496638503,2042.7332674719087,24407.197500000002
PETRONET.NS,validation,2023-11-03,2023-11-17,-0.010507867202922317,-0.008327856819215678,-261.4865460710322,24884.835430572515
BAJFINANCE.NS,validation,2023-11-21,2023-12-05,0.033621865582252934,0.035819423369869395,834.1550808818051,24809.89875
CHOLAFIN.NS,validation,2023-11-22,2023-12-06,0.04181145704739497,0.044045424606479235,1015.886357835798,24296.84181262207
MOTHERSON.NS,validation,2023-11-23,2023-12-07,0.06672466148960345,0.06892257592318642,1664.8916493938432,24951.668726760865
BALRAMCHIN.NS,validation,2023-12-08,2023-12-21,-0.038872963992333025,-0.03669641703501275,-964.5315317633639,24812.399999999998
LALPATHLAB.NS,validation,2023-12-12,2023-12-26,0.006608750636381811,0.008821609930931514,161.65003014654863,24459.998423400877
